psalm,author
1,Anonymous
2,Anonymous
3,David
4,David
5,David
6,David
7,David
8,David
9,David
10,Anonymous
11,David
12,David
13,David
14,David
15,David
16,David
17,David
18,David
19,David
20,David
21,David
22,David
23,David
24,David
25,David
26,David
27,David
28,David
29,David
30,David
31,David
32,David
33,Anonymous
34,David
35,David
36,David
37,David
38,David
39,David
40,David
41,David
42,Sons of Korah
43,Sons of Korah
44,Sons of Korah
45,Sons of Korah
46,Sons of Korah
47,Sons of Korah
48,Sons of Korah
49,Sons of Korah
50,Asaph
51,David
52,David
53,David
54,David
55,David
56,David
57,David
58,David
59,David
60,David
61,David
62,David
63,David
64,David
65,David
66,Anonymous
67,Anonymous
68,David
69,David
70,David
71,Anonymous
72,Solomon
73,Asaph
74,Asaph
75,Asaph
76,Asaph
77,Asaph
78,Asaph
79,Asaph
80,Asaph
81,Asaph
82,Asaph
83,Asaph
84,Sons of Korah
85,Sons of Korah
86,David
87,Sons of Korah
88,Sons of Korah
89,Ethan
90,Moses
91,Anonymous
92,Anonymous
93,Anonymous
94,Anonymous
95,Anonymous
96,Anonymous
97,Anonymous
98,Anonymous
99,Anonymous
100,Anonymous
101,David
102,Anonymous
103,David
104,Anonymous
105,Anonymous
106,Anonymous
107,Anonymous
108,David
109,David
110,David
111,Anonymous
112,Anonymous
113,Anonymous
114,Anonymous
115,Anonymous
116,Anonymous
117,Anonymous
118,Anonymous
119,Anonymous
120,Anonymous
121,Anonymous
122,David
123,Anonymous
124,David
125,Anonymous
126,Anonymous
127,Solomon
128,Anonymous
129,Anonymous
130,Anonymous
131,David
132,Anonymous
133,David
134,Anonymous
135,Anonymous
136,Anonymous
137,Anonymous
138,David
139,David
140,David
141,David
142,David
143,David
144,David
145,David
146,Anonymous
147,Anonymous
148,Anonymous
149,Anonymous
150,Anonymous
